index	a/B	a/c	n	E/Sys	W	B	Sys	E	a	2c																																						
0.60_0.60_6_150	0.60	0.60	6.00	150.0	10.0000	1.0000	1.00	150.00	0.6000	2.0000																																						
**	**	phi	0	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90
step	stress	CMOD	J0	J2	J4	J6	J8	J10	J12	J14	J16	J18	J20	J22	J24	J26	J28	J30	J32	J34	J36	J38	J40	J42	J44	J46	J48	J50	J52	J54	J56	J58	J60	J62	J64	J66	J68	J70	J72	J74	J76	J78	J80	J82	J84	J86	J88	J90
20	9.9366e-01	4.5172e-02	1.2989e+01	1.6805e+01	1.9871e+01	2.2068e+01	2.3270e+01	2.4232e+01	2.4959e+01	2.5510e+01	2.5993e+01	2.6407e+01	2.6737e+01	2.7032e+01	2.7292e+01	2.7514e+01	2.7703e+01	2.7866e+01	2.8005e+01	2.8109e+01	2.8192e+01	2.8254e+01	2.8295e+01	2.8313e+01	2.8306e+01	2.8279e+01	2.8232e+01	2.8168e+01	2.8096e+01	2.8049e+01	2.8011e+01	2.7936e+01	2.7780e+01	2.7585e+01	2.7537e+01	2.7532e+01	2.7474e+01	2.7415e+01	2.7364e+01	2.7321e+01	2.7286e+01	2.7257e+01	2.7234e+01	2.7217e+01	2.7205e+01	2.7197e+01	2.7192e+01	2.7191e+01
end																																																
**	**	phi	0	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90
		T/Sigma	-5.8101e-01	-5.8101e-01	-5.8101e-01	-5.8101e-01	-5.2853e-01	-4.9300e-01	-4.6995e-01	-4.5491e-01	-4.4352e-01	-4.3378e-01	-4.2600e-01	-4.2049e-01	-4.1705e-01	-4.1534e-01	-4.1507e-01	-4.1600e-01	-4.1795e-01	-4.2101e-01	-4.2531e-01	-4.3075e-01	-4.3700e-01	-4.4378e-01	-4.5110e-01	-4.5906e-01	-4.6770e-01	-4.7700e-01	-4.8689e-01	-4.9700e-01	-5.0690e-01	-5.1650e-01	-5.2600e-01	-5.3558e-01	-5.4520e-01	-5.5477e-01	-5.6412e-01	-5.7300e-01	-5.8118e-01	-5.8859e-01	-5.9520e-01	-6.0099e-01	-6.0600e-01	-6.1024e-01	-6.1364e-01	-6.1612e-01	-6.1760e-01	-6.1800e-01
																																																
No	Tearing	Point	Values	Reported																																												
end_summary																																																
																																																
US Units																																																
length (in)																																																
Force (kip)																																																
Stress (ksi)																																																
J (in-lb/in^{2})																																																
K (ksi-in^{0.5})																																																
Phi (deg)																																																
end_units																																																
